Name,Team,Age,GP,MPG,FTA,PPG,RPG,SPG,BPG
"Shannon,Brown",Gol,23,26,28,47,14.7,3.4,9.2,1.5
"Stephen,Curry",Mil,33,26,27.2,60,10.5,3.2,6.8,1
"Samuel,Dalembert",San,33,21,23.6,54,8.9,3.9,7,1.33
"Stephen,Graham",Lal,31,53,23.1,27,5.2,1.6,5.2,0.72
"Spencer,Hawes",Pho,37,62,31.4,142,12.5,3,9.4,0.61
"Serge,Ibaka",Nyk,28,54,18.7,26,8.8,1.9,3.2,0.3
"Stephen,Jackson",Njn,25,57,13.7,96,5.1,1.9,8.1,0.96
"Stephen,Jackson",San,28,14,13.4,14,3.6,1.3,7.4,0.64
"Solomon,Jones",Chi,26,63,20.2,135,7.7,5.3,6.1,0.43
"Shaun,Livingston",Det,31,63,32.9,115,12.7,4.5,6.3,0.43
"Shaun,Livingston",Mia,24,22,14.3,21,3.6,2.3,6,0.41
"Shawn,Marion",Hou,24,12,14.9,12,4.5,2.3,5.4,0.33
"Sean,May",Sac,24,18,20.3,34,8.8,4.1,9.5,0.89
"Steve,Nash",Okc,27,42,21.5,43,4.8,3,4.7,0.88
"Shaquille,O'Neal",Phi,23,63,27.7,144,12.8,5.2,6.2,1.02
"Sasha,Pavlovic",San,26,59,18.8,181,9.3,5.2,8,0.36
"Sergio,Rodriguez",San,35,58,28,249,15.4,9,9.8,0.66
"Sergio,Rodriguez",Den,25,44,15.4,57,5.4,4.1,5.8,0.34
"Sebastian,Telfair",Mil,19,42,11.2,54,5,2.4,6.5,0.31
"Sasha,Vujacic",Nyk,25,38,17.1,26,6.2,1.9,6.7,0.76
"Sonny,Weems",Mem,29,58,26.1,175,9.8,4,5.8,1.79
"Sean,Williams",Phi,35,27,10.7,4,1.6,2.5,5,0.15
"Shelden,Williams",San,29,60,31.9,284,18.3,2.9,9.3,0.95
"Sam,Young",Atl,32,52,15.9,83,5.3,3,8.1,0.31
"Tony,Allen",Sac,27,39,12.7,46,4.3,1.6,4.4,0.49
"Trevor,Ariza",Nor,26,41,32.7,102,10.9,5.2,7,1.68
"Tony,Battie",Was,23,50,25,93,8.4,6.5,5.6,0.96
"Tyson,Chandler",Cle,20,60,23.6,194,8.3,6.5,5.1,0.45
"Toney,Douglas",Lal,31,59,16,9,3.2,3.2,5.2,0.25
"Tim,Duncan",Den,24,61,34.6,216,16.3,3.7,8.5,1.34
"Tyreke,Evans",Ind,25,66,21.6,278,9.3,4.4,5.1,0.82
"T.J.,Ford",Sac,22,63,34.2,258,16.5,4.6,8.2,1.33
"Taj,Gibson",Cha,25,54,18.5,83,5.6,3.7,5,0.67
"Tyler,Hansbrough",Nyk,29,62,33,315,11.3,9.9,5.6,0.9
"Trenton,Hassell",Mia,31,64,24.6,102,6,7.3,5.1,0.55
"Ty,Lawson",Dal,35,61,25.1,115,10.1,3.4,6.8,0.92
"Tracy,McGrady",Atl,30,49,15.2,29,4.5,2.9,6.4,0.47
"Troy,Murphy",Orl,26,33,14,54,5.9,1.4,5.6,0.3
"Travis,Outlaw",Det,29,28,12.6,22,3,0.9,5.7,0.64
"Travis,Outlaw",Min,24,51,18.9,40,6.1,1.9,4,0.51
"Tony,Parker",Min,24,65,22.4,34,6,2.7,4.4,0.54
"Tayshaun,Prince",Por,25,66,33.6,171,13.7,3.4,5.1,1.45
"Theo,Ratliff",Det,29,36,14.1,64,5.7,1.6,7.2,0.64
"Theo,Ratliff",Atl,30,53,17.2,56,7.6,1.5,4.9,0.42
"Thabo,Sefolosha",Nor,20,45,16.7,85,5.3,2.4,5.2,0.58
"Tim,Thomas",Mem,30,28,26,88,11.6,8,8.3,0.75
"Tyrus,Thomas",Atl,27,58,28.1,158,7.8,7.9,6.3,0.93
"Tyrus,Thomas",Was,27,56,26.1,95,9.5,4.8,1.29,0.36
"Terrence,Williams",Was,25,48,18.3,72,5.3,5,0.67,0.33
"Thaddeus,Young",Cle,21,82,31.1,291,11.7,9.4,0.73,0.87
"Udonis,Haslem",Dal,32,14,18.1,11,4.6,3.5,0.71,0.43
"Vince,Carter",Den,25,73,34.2,311,16.7,2.7,1.48,0.11
"Vladimir,Radmanovic",Ind,27,81,16.7,300,7,4.6,0.36,0.23
"Will,Bynum",Cle,23,77,26.2,157,7.9,5.7,0.45,0.91
"Wilson,Chandler",Sac,23,65,30.8,271,15.2,4.4,1.38,0.42
"Wayne,Ellington",Cha,26,26,13.6,31,4.8,2.3,0.54,0.58
"Willie,Green",Nyk,30,66,32.6,258,10.4,10.6,0.64,1.15
"Wesley,Matthews",Mia,32,75,18.6,45,3.9,5.4,0.4,0.2
"Yi,Jianlian",Por,24,49,16.4,30,3.8,2.4,0.53,0.24
"Zydrunas,Ilgauskas",Dal,36,81,25.6,223,13.4,4.1,0.94,0.53
"Zaza,Pachulia",Mem,25,40,16.7,16,5.5,1.3,0.4,0.03
"Zach,Randolph",Cle,25,38,25.7,59,10.4,3,0.76,0.05
